account_rewards,date
-1095370.0,2019-10-08
-1374396.150000006,2019-10-09
-638734.450000003,2019-10-10
746900.0,2019-10-11
-342182.549999997,2019-10-14
-824026.099999994,2019-10-15
-266644.34999999404,2019-10-16
-1575762.650000006,2019-10-17
-1217227.100000009,2019-10-18
-739835.5,2019-10-21
-194228.70000000298,2019-10-22
336812.65000000596,2019-10-23
73513.79999998212,2019-10-24
-265314.1999999881,2019-10-25
-791169.0,2019-10-28
847320.150000006,2019-10-29
294800.0,2019-10-30
1929130.75,2019-10-31
97727.05000001192,2019-11-01
458981.15000000596,2019-11-04
-504896.0,2019-11-05
890986.0,2019-11-06
-1657935.5,2019-11-07
108524.29999999702,2019-11-08
-772829.8000000119,2019-11-11
-164099.25,2019-11-12
-1094500.0,2019-11-13
610168.900000006,2019-11-14
-243274.95000000298,2019-11-15
-593500.0,2019-11-18
-483000.0,2019-11-19
-1875700.0,2019-11-20
-685916.3999999911,2019-11-21
-2427400.0,2019-11-22
-1252084.800000012,2019-11-25
115598.5,2019-11-26
-2339006.950000003,2019-11-27
-672885.0,2019-11-28
-2317354.299999997,2019-11-29
307735.85000000894,2019-12-02
1124662.5,2019-12-03
-1228405.5,2019-12-04
-961313.5,2019-12-05
592800.0,2019-12-06
-955554.299999997,2019-12-09
-1214703.150000006,2019-12-10
411473.15000000596,2019-12-11
323760.950000003,2019-12-12
-989955.700000003,2019-12-13
-648045.950000003,2019-12-16
-862598.5,2019-12-17
-80309.0,2019-12-18
440600.0,2019-12-19
-534203.700000003,2019-12-20
49398.74999999255,2019-12-23
452900.0,2019-12-24
223249.64999999106,2019-12-25
76932.5,2019-12-26
734226.799999997,2019-12-27
-557212.25,2019-12-30
68843.5,2019-12-31
247231.15000000596,2020-01-02
