account_value,date,daily_return
90139619.55,2019-10-04,-0.0030073601389879
88991419.55000001,2019-10-07,-0.0127380169312019
88234219.55000001,2019-10-08,
87138849.55000001,2019-10-09,-0.0124143445206004
85764453.4,2019-10-10,-0.0157724844555284
85125718.95,2019-10-11,-0.0074475429467378
85872618.95,2019-10-14,0.0087740815491814
85530436.4,2019-10-15,-0.0039847690006896
84706410.30000001,2019-10-16,-0.0096343025323321
84439765.95000002,2019-10-17,-0.003147865067775
82864003.30000001,2019-10-18,-0.0186613810717224
81646776.2,2019-10-21,-0.0146894556324194
80906940.7,2019-10-22,-0.00906141717326
80712712.0,2019-10-23,-0.0024006432367797
81049524.65,2019-10-24,0.0041729814505551
81123038.44999999,2019-10-25,0.0009070232097898
80857724.25,2019-10-28,-0.0032705160589308
80066555.25,2019-10-29,-0.0097847052627133
80913875.4,2019-10-30,0.0105826976988623
81208675.4,2019-10-31,0.0036433800574084
83137806.15,2019-11-01,0.0237552298507259
83235533.20000002,2019-11-04,0.0011754826657766
83694514.35000002,2019-11-05,0.0055142453271388
83189618.35000002,2019-11-06,-0.0060326056483055
84080604.35000002,2019-11-07,0.010710302771812
82422668.85000002,2019-11-08,-0.0197184060797013
82531193.15000002,2019-11-11,0.0013166802472448
81758363.35000001,2019-11-12,-0.0093640933870348
81594264.10000001,2019-11-13,-0.0020071249383687
80499764.10000001,2019-11-14,-0.0134139331002312
81109933.00000001,2019-11-15,0.0075797601001914
80866658.05000001,2019-11-18,-0.00299932376963
80273158.05000001,2019-11-19,-0.0073392423319019
79790158.05000001,2019-11-20,-0.006016955252952
77914458.05000001,2019-11-21,-0.0235079118257242
77228541.65000002,2019-11-22,-0.0088034546753802
74801141.65000002,2019-11-25,-0.0314313846686499
73549056.85000001,2019-11-26,-0.0167388461242825
73664655.35000001,2019-11-27,0.0015717196786868
71325648.4,2019-11-28,-0.0317520924911244
70652763.4,2019-11-29,-0.0094339836383456
68335409.10000001,2019-12-02,-0.0327992025857547
68643144.95000002,2019-12-03,0.0045033146658957
69767807.45000002,2019-12-04,0.0163841924902947
68539401.95000002,2019-12-05,-0.0176070532369868
67578088.45000002,2019-12-06,-0.0140257059829802
68170888.45000002,2019-12-09,0.0087720741085863
67215334.15000002,2019-12-10,-0.0140170433703654
66000631.000000015,2019-12-11,-0.0180718159830796
66412104.15000002,2019-12-12,0.0062343820621957
66735865.10000002,2019-12-13,0.0048750292457042
65745909.40000002,2019-12-16,-0.0148339382207244
65097863.45000002,2019-12-17,-0.0098568254042585
64235264.95000002,2019-12-18,-0.0132507958677098
64154955.95000002,2019-12-19,-0.001250232252681
64595555.95000002,2019-12-20,0.006867746902412
64061352.250000015,2019-12-23,-0.0082699760400467
64110751.00000001,2019-12-24,0.0007711162544183
64563651.00000001,2019-12-25,0.0070643377738626
64786900.65,2019-12-26,0.0034578225757397
64863833.15,2019-12-27,0.0011874699858789
65598059.95,2019-12-30,0.0113195098769767
65040847.7,2019-12-31,-0.0084943403878821
65109691.2,2020-01-02,0.0010584656017635
65356922.35,2020-01-03,0.0037971482500289
63962422.35,2020-01-06,
64454922.35,2020-01-07,0.0076998334632334
63309022.35,2020-01-08,-0.0177783163522808
63821122.35,2020-01-09,0.0080888944575527
64746222.35,2020-01-10,0.0144952010547021
66251822.35,2020-01-13,0.0232538663315544
66115322.35,2020-01-14,-0.0020603206848995
66085322.35,2020-01-15,-0.0004537526088307
65963422.35,2020-01-16,-0.0018445850858439
65928522.35,2020-01-17,-0.0005290810991404
65891922.35,2020-01-20,-0.0005551466754509
67036022.35,2020-01-21,0.0173632815555577
68420022.35,2020-01-22,0.020645616363901
66897822.35,2020-01-30,-0.0222478734691613
67027722.35,2020-01-31,0.0019417672419945
66908276.0,2020-02-03,-0.0017820439933239
68079897.1,2020-02-04,0.0175108547110076
66846997.1,2020-02-05,-0.0181096043401628
66223997.1,2020-02-06,-0.0093197903724533
64251497.1,2020-02-07,-0.0297852755251464
60732197.1,2020-02-10,-0.0547738209822974
63107697.1,2020-02-11,0.0391143431891418
62996797.1,2020-02-12,-0.0017573133721591
62450097.1,2020-02-13,-0.0086782189756755
61904497.1,2020-02-14,-0.0087365756874059
63970097.1,2020-02-17,0.0333675273488329
64711297.1,2020-02-18,0.0115866636694537
63769597.1,2020-02-19,-0.0145523276800458
63672597.1,2020-02-20,-0.0015211010326423
61233097.1,2020-02-21,-0.0383131851237147
57067497.1,2020-02-24,-0.0680285694711333
60420097.1,2020-02-25,0.0587479768759651
57960197.1,2020-02-26,-0.0407132745240159
58039497.1,2020-02-27,0.0013681803024785
55930597.1,2020-02-28,-0.0363356008472375
55367397.1,2020-03-02,-0.0100696225179401
57784797.1,2020-03-03,0.0436610736031872
56725897.1,2020-03-04,-0.0183248891255516
57416697.1,2020-03-05,0.0121778594137031
57687797.1,2020-03-06,0.0047216230416011
53586297.1,2020-03-09,-0.0710982253818806
51828397.1,2020-03-10,-0.0328050284332858
52001439.7,2020-03-11,0.0033387604032231
48145655.45,2020-03-12,-0.0741476442237809
45567155.45,2020-03-13,-0.0535562342209218
45540217.2,2020-03-16,-0.0005911769065672
45496417.2,2020-03-17,-0.0009617872441767
45485417.2,2020-03-18,-0.000241777279992
43831573.45,2020-03-19,-0.0363598676632562
43451273.45,2020-03-20,-0.0086763939796461
43673138.2,2020-03-23,0.0051060586349742
44951988.49999999,2020-03-24,0.0292823083640918
44756510.9,2020-03-25,-0.0043485862699932
44866010.9,2020-03-26,0.0024465714104626
44958210.9,2020-03-27,0.002055007747524
45059510.9,2020-03-30,0.0022532035410689
44917570.49999999,2020-03-31,-0.0031500652618048
44742254.89999999,2020-04-01,-0.0039030517022287
