account_rewards,date
185800.0,2021-01-06
625400.0,2021-01-07
1404800.0,2021-01-08
-474200.0,2021-01-11
-457200.0,2021-01-12
-1358100.0,2021-01-13
-494000.0,2021-01-14
328600.0,2021-01-15
-2641200.0,2021-01-18
419600.0,2021-01-19
1088600.0,2021-01-20
-819400.0,2021-01-21
-488900.0,2021-01-22
-1108400.0,2021-01-25
-1452900.0,2021-01-26
-3331000.0,2021-01-27
1408000.0,2021-01-28
-40200.0,2021-01-29
-1242564.6999999955,2021-02-01
2299657.4999999925,2021-02-02
-1086307.5,2021-02-03
-338499.9999999851,2021-02-04
-3101700.000000015,2021-02-05
712400.0,2021-02-08
3642600.0,2021-02-09
2097600.0,2021-02-17
-712500.0,2021-02-18
-680500.0,2021-02-19
456300.0,2021-02-22
-1330600.0,2021-02-23
-48100.0,2021-02-24
-1648300.0,2021-02-25
1679000.0,2021-02-26
723500.0,2021-03-01
1671900.0,2021-03-02
-1342100.0,2021-03-03
-42900.0,2021-03-04
-311100.0,2021-03-05
-667100.0,2021-03-08
3400.0,2021-03-09
-153100.0,2021-03-10
567700.0,2021-03-11
-484700.0,2021-03-12
866800.0,2021-03-15
-154100.0,2021-03-16
122000.0,2021-03-17
-2257300.0,2021-03-18
1600600.0,2021-03-19
-935900.0,2021-03-22
-941100.0,2021-03-23
-1015400.0,2021-03-24
-1682799.999999985,2021-03-25
1549499.999999985,2021-03-26
-1128500.0,2021-03-29
-3499.999999985099,2021-03-30
1596999.999999985,2021-03-31
-491200.0,2021-04-01
773400.0,2021-04-02
935300.0,2021-04-05
715700.0,2021-04-06
-111800.0,2021-04-07
-747100.0,2021-04-08
