account_rewards,date
-1410037.800000012,2019-04-08
-1276800.0,2019-04-09
-323600.0,2019-04-10
323600.0,2019-04-11
-5000.0,2019-04-12
141600.0,2019-04-16
-963600.0,2019-04-17
315000.0,2019-04-18
-335000.0,2019-04-19
1313600.0,2019-04-22
790200.0,2019-04-23
-495200.0,2019-04-24
1271800.0,2019-04-25
311800.0,2019-04-26
-1375200.0,2019-05-02
-975000.0,2019-05-03
318200.0,2019-05-06
-466600.0,2019-05-07
-500200.0,2019-05-08
1115200.0,2019-05-09
-795200.0,2019-05-10
2520400.0,2019-05-13
3170400.0,2019-05-14
-5000.0,2019-05-15
628600.0,2019-05-16
2208600.0,2019-05-17
-935000.0,2019-05-20
1103400.0,2019-05-21
1890400.0,2019-05-22
-2388800.0,2019-05-23
0.0,2019-05-24
2208600.0,2019-05-27
-951800.0,2019-05-28
991400.0,2019-05-29
-2796800.0,2019-05-30
-2970600.0,2019-05-31
1479600.0,2019-06-03
-326200.0,2019-06-04
-501400.0,2019-06-05
1170200.0,2019-06-06
5000.0,2019-06-07
-10000.0,2019-06-10
-991400.0,2019-06-11
-498200.0,2019-06-12
-158800.0,2019-06-13
-183800.0,2019-06-14
-518200.0,2019-06-17
830800.0,2019-06-18
3305000.0,2019-06-19
-827600.0,2019-06-20
-795800.0,2019-06-21
-989600.0,2019-06-24
1462800.0,2019-06-25
-1497800.0,2019-06-26
-3937000.0,2019-06-27
6262400.0,2019-06-28
1466000.0,2019-07-01
-339400.0,2019-07-02
505000.0,2019-07-03
322600.0,2019-07-04
-984600.0,2019-07-05
157000.0,2019-07-08
