account_rewards,date
-214900.0,2020-10-08
1124300.0,2020-10-09
570400.0,2020-10-12
2429300.0,2020-10-13
-1214900.0,2020-10-14
-79100.0,2020-10-15
-565500.0,2020-10-16
-85600.0,2020-10-19
666900.0,2020-10-20
726700.0,2020-10-21
-334378.80000000447,2020-10-22
893800.0,2020-10-23
-930600.0,2020-10-26
-2233800.0,2020-10-27
809400.0,2020-10-28
1209500.0,2020-10-29
-952200.0,2020-10-30
-390600.0,2020-11-02
667400.0,2020-11-03
-21200.0,2020-11-04
-542700.0,2020-11-05
-189400.0,2020-11-06
627700.0,2020-11-09
62700.0,2020-11-10
-521200.0,2020-11-11
-442894.799999997,2020-11-12
-611100.0,2020-11-13
1700.0,2020-11-16
-595621.650000006,2020-11-17
2966700.0,2020-11-18
-496700.0,2020-11-19
-418700.0,2020-11-20
-678200.0,2020-11-23
951000.0,2020-11-24
1479300.0,2020-11-25
-754900.0,2020-11-26
-569300.0,2020-11-27
-459500.0,2020-11-30
463900.0,2020-12-01
-1027400.0,2020-12-02
267600.0,2020-12-03
298400.0,2020-12-04
-992100.0,2020-12-07
2094600.0,2020-12-08
-511800.0,2020-12-09
1476400.0,2020-12-10
1688700.0,2020-12-11
-533600.0,2020-12-14
-532400.0,2020-12-15
-1553400.0,2020-12-16
1514500.0,2020-12-17
-102600.0,2020-12-18
-1405800.0,2020-12-21
-325400.0,2020-12-22
-435500.0,2020-12-23
225600.0,2020-12-24
2081200.0,2020-12-25
-299400.0,2020-12-28
556100.0,2020-12-29
-645900.0,2020-12-30
-103700.0,2020-12-31
34700.0,2021-01-04
