account_rewards,date
-205157.95000000298,2020-07-10
-121900.0,2020-07-13
112800.0,2020-07-14
-23880.60000000149,2020-07-15
353500.0,2020-07-16
-1149300.0,2020-07-17
-3516.35000000149,2020-07-20
-1239100.0,2020-07-21
-257400.0,2020-07-22
-2262100.0,2020-07-23
-3905800.0,2020-07-24
3324800.0,2020-07-27
-1282400.0,2020-07-28
313400.0,2020-07-29
-770700.0,2020-07-30
636900.0,2020-07-31
1009000.0,2020-08-03
1101100.0,2020-08-04
-790100.0,2020-08-05
-251600.0,2020-08-06
314776.450000003,2020-08-07
-794700.0,2020-08-10
847670.299999997,2020-08-11
431244.5,2020-08-12
-1084900.0,2020-08-13
-1095474.8999999985,2020-08-14
-852500.0,2020-08-17
129141.09999999404,2020-08-18
-112004.29999999702,2020-08-19
163900.0,2020-08-20
737200.0,2020-08-21
151100.0,2020-08-24
563700.0,2020-08-25
-283735.6499999985,2020-08-26
572800.0,2020-08-27
-136100.0,2020-08-28
472200.0,2020-08-31
1281547.8999999985,2020-09-01
474700.0,2020-09-03
-1867388.200000003,2020-09-04
70661.0,2020-09-07
23419.54999999702,2020-09-08
-140033.79999999702,2020-09-09
-789506.1000000015,2020-09-10
-30804.5,2020-09-11
-359600.0,2020-09-14
-170723.6499999985,2020-09-15
-1381523.3999999985,2020-09-16
84848.79999999702,2020-09-17
82954.70000000298,2020-09-18
-519000.0,2020-09-21
1462300.0,2020-09-22
98400.0,2020-09-23
-76900.0,2020-09-24
-1946738.849999994,2020-09-25
-622400.0,2020-09-28
330223.3999999985,2020-09-29
-259415.90000000596,2020-09-30
-357700.0,2020-10-01
-662600.0,2020-10-02
-199600.0,2020-10-05
255500.0,2020-10-06
