account_rewards,date
492500.0,2020-01-06
-1145900.0,2020-01-07
512100.0,2020-01-08
925100.0,2020-01-09
1505600.0,2020-01-10
-136500.0,2020-01-13
-30000.0,2020-01-14
-121900.0,2020-01-15
-34900.0,2020-01-16
-36600.0,2020-01-17
1144100.0,2020-01-20
1383999.9999999925,2020-01-21
-1522199.9999999925,2020-01-22
129900.0,2020-01-30
-119446.35000000149,2020-01-31
1171621.099999994,2020-02-03
-1232900.0,2020-02-04
-623000.0,2020-02-05
-1972500.0,2020-02-06
-3519300.0,2020-02-07
2375500.0,2020-02-10
-110900.0,2020-02-11
-546700.0,2020-02-12
-545600.0,2020-02-13
2065600.0,2020-02-14
741200.0,2020-02-17
-941700.0,2020-02-18
-97000.0,2020-02-19
-2439500.0,2020-02-20
-4165600.0,2020-02-21
3352600.0,2020-02-24
-2459900.0,2020-02-25
79300.0,2020-02-26
-2108900.0,2020-02-27
-563200.0,2020-02-28
2417400.0,2020-03-02
-1058900.0,2020-03-03
690800.0,2020-03-04
271100.0,2020-03-05
-4101500.0,2020-03-06
-1757900.0,2020-03-09
173042.6000000015,2020-03-10
-3855784.25,2020-03-11
-2578500.0,2020-03-12
-26938.25,2020-03-13
-43800.0,2020-03-16
-11000.0,2020-03-17
-1653843.75,2020-03-18
-380300.0,2020-03-19
221864.75,2020-03-20
1278850.299999997,2020-03-23
-195477.59999999404,2020-03-24
109500.0,2020-03-25
92200.0,2020-03-26
101300.0,2020-03-27
-141940.40000000596,2020-03-30
-175315.6000000015,2020-03-31
3105570.200000003,2020-04-01
3495300.0,2020-04-03
381600.0,2020-04-06
1340900.0,2020-04-07
-354300.0,2020-04-08
