,date,actions
159,2019-08-26,[0]
160,2019-08-27,[0]
161,2019-08-28,[0]
162,2019-08-29,[0]
163,2019-08-30,[0]
164,2019-09-03,[0]
165,2019-09-04,[0]
166,2019-09-05,[0]
167,2019-09-06,[0]
168,2019-09-09,[0]
169,2019-09-10,[0]
170,2019-09-11,[0]
171,2019-09-12,[0]
172,2019-09-13,[0]
173,2019-09-16,[0]
174,2019-09-17,[0]
175,2019-09-18,[0]
176,2019-09-19,[0]
177,2019-09-20,[0]
178,2019-09-23,[0]
179,2019-09-24,[0]
180,2019-09-25,[0]
181,2019-09-26,[0]
182,2019-09-27,[0]
183,2019-09-30,[0]
184,2019-10-01,[0]
185,2019-10-02,[0]
186,2019-10-03,[0]
187,2019-10-04,[0]
188,2019-10-07,[0]
189,2019-10-08,[0]
190,2019-10-09,[0]
191,2019-10-10,[0]
192,2019-10-11,[0]
193,2019-10-14,[0]
194,2019-10-15,[0]
195,2019-10-16,[0]
196,2019-10-17,[0]
197,2019-10-18,[0]
198,2019-10-21,[0]
199,2019-10-22,[0]
200,2019-10-23,[0]
201,2019-10-24,[0]
202,2019-10-25,[0]
203,2019-10-28,[0]
204,2019-10-29,[0]
205,2019-10-30,[0]
206,2019-10-31,[0]
207,2019-11-01,[0]
208,2019-11-04,[0]
209,2019-11-05,[0]
210,2019-11-06,[0]
211,2019-11-07,[0]
212,2019-11-08,[0]
213,2019-11-11,[0]
214,2019-11-12,[0]
215,2019-11-13,[0]
216,2019-11-14,[0]
217,2019-11-15,[0]
218,2019-11-18,[0]
219,2019-11-19,[0]
220,2019-11-20,[0]
221,2019-11-21,[0]
222,2019-11-22,[0]
223,2019-11-25,[0]
224,2019-11-26,[0]
225,2019-11-27,[0]
226,2019-11-28,[0]
227,2019-11-29,[0]
228,2019-12-02,[0]
229,2019-12-03,[0]
230,2019-12-04,[0]
231,2019-12-05,[0]
232,2019-12-06,[0]
233,2019-12-09,[0]
234,2019-12-10,[0]
235,2019-12-11,[0]
236,2019-12-12,[0]
237,2019-12-13,[0]
238,2019-12-16,[0]
239,2019-12-17,[0]
240,2019-12-18,[0]
241,2019-12-19,[0]
242,2019-12-20,[0]
243,2019-12-23,[0]
244,2019-12-24,[0]
245,2019-12-25,[0]
246,2019-12-26,[0]
247,2019-12-27,[0]
248,2019-12-30,[0]
249,2019-12-31,[0]
250,2020-01-02,[0]
251,2020-01-03,[0]
252,2020-01-06,[0]
253,2020-01-07,[0]
254,2020-01-08,[0]
255,2020-01-09,[0]
256,2020-01-10,[0]
257,2020-01-13,[0]
258,2020-01-14,[0]
259,2020-01-15,[0]
260,2020-01-16,[0]
261,2020-01-17,[0]
262,2020-01-20,[0]
263,2020-01-21,[0]
264,2020-01-22,[0]
265,2020-01-30,[0]
266,2020-01-31,[0]
267,2020-02-03,[0]
268,2020-02-04,[0]
269,2020-02-05,[0]
270,2020-02-06,[0]
271,2020-02-07,[0]
272,2020-02-10,[0]
273,2020-02-11,[0]
274,2020-02-12,[0]
275,2020-02-13,[0]
276,2020-02-14,[0]
277,2020-02-17,[0]
278,2020-02-18,[0]
279,2020-02-19,[0]
280,2020-02-20,[0]
281,2020-02-21,[0]
282,2020-02-24,[0]
283,2020-02-25,[0]
284,2020-02-26,[0]
285,2020-02-27,[0]
286,2020-02-28,[0]
287,2020-03-02,[0]
288,2020-03-03,[0]
289,2020-03-04,[0]
290,2020-03-05,[0]
291,2020-03-06,[0]
292,2020-03-09,[0]
293,2020-03-10,[0]
294,2020-03-11,[0]
295,2020-03-12,[0]
296,2020-03-13,[0]
297,2020-03-16,[0]
298,2020-03-17,[0]
299,2020-03-18,[0]
300,2020-03-19,[0]
301,2020-03-20,[0]
302,2020-03-23,[0]
303,2020-03-24,[0]
304,2020-03-25,[0]
305,2020-03-26,[0]
306,2020-03-27,[0]
307,2020-03-30,[0]
308,2020-03-31,[0]
309,2020-04-01,[0]
310,2020-04-03,[0]
311,2020-04-06,[0]
312,2020-04-07,[0]
313,2020-04-08,[0]
314,2020-04-09,[0]
315,2020-04-10,[0]
316,2020-04-13,[0]
317,2020-04-14,[0]
318,2020-04-15,[0]
319,2020-04-16,[0]
320,2020-04-17,[0]
321,2020-04-20,[0]
322,2020-04-21,[0]
323,2020-04-22,[0]
324,2020-04-23,[0]
325,2020-04-24,[0]
326,2020-04-27,[0]
327,2020-04-28,[0]
328,2020-04-29,[0]
329,2020-05-04,[0]
330,2020-05-05,[0]
331,2020-05-06,[0]
332,2020-05-07,[0]
333,2020-05-08,[0]
334,2020-05-11,[0]
335,2020-05-12,[0]
336,2020-05-13,[0]
337,2020-05-14,[0]
338,2020-05-15,[0]
339,2020-05-18,[0]
340,2020-05-19,[0]
341,2020-05-20,[0]
342,2020-05-21,[0]
343,2020-05-22,[0]
344,2020-05-25,[0]
345,2020-05-26,[0]
346,2020-05-27,[0]
347,2020-05-28,[0]
348,2020-05-29,[0]
349,2020-06-01,[0]
350,2020-06-02,[0]
351,2020-06-03,[0]
352,2020-06-04,[0]
353,2020-06-05,[0]
354,2020-06-08,[0]
355,2020-06-09,[0]
356,2020-06-10,[0]
357,2020-06-11,[0]
358,2020-06-12,[0]
359,2020-06-15,[0]
360,2020-06-16,[0]
361,2020-06-17,[0]
362,2020-06-18,[0]
363,2020-06-19,[0]
364,2020-06-22,[0]
365,2020-06-23,[0]
366,2020-06-24,[0]
367,2020-06-25,[0]
368,2020-06-26,[0]
369,2020-06-29,[0]
370,2020-06-30,[0]
371,2020-07-01,[0]
372,2020-07-02,[0]
373,2020-07-03,[0]
374,2020-07-06,[0]
375,2020-07-07,[0]
376,2020-07-08,[0]
377,2020-07-09,[0]
378,2020-07-10,[0]
379,2020-07-13,[0]
380,2020-07-14,[0]
381,2020-07-15,[0]
382,2020-07-16,[0]
383,2020-07-17,[0]
384,2020-07-20,[0]
385,2020-07-21,[0]
386,2020-07-22,[0]
387,2020-07-23,[0]
388,2020-07-24,[0]
389,2020-07-27,[0]
390,2020-07-28,[0]
391,2020-07-29,[0]
392,2020-07-30,[0]
393,2020-07-31,[0]
394,2020-08-03,[0]
395,2020-08-04,[0]
396,2020-08-05,[0]
397,2020-08-06,[0]
398,2020-08-07,[0]
399,2020-08-10,[0]
400,2020-08-11,[0]
401,2020-08-12,[0]
402,2020-08-13,[0]
403,2020-08-14,[0]
404,2020-08-17,[0]
405,2020-08-18,[0]
406,2020-08-19,[0]
407,2020-08-20,[0]
408,2020-08-21,[0]
409,2020-08-24,[0]
410,2020-08-25,[0]
411,2020-08-26,[0]
412,2020-08-27,[0]
413,2020-08-28,[0]
414,2020-08-31,[0]
415,2020-09-01,[0]
416,2020-09-03,[0]
417,2020-09-04,[0]
418,2020-09-07,[0]
419,2020-09-08,[0]
420,2020-09-09,[0]
421,2020-09-10,[0]
422,2020-09-11,[0]
423,2020-09-14,[0]
424,2020-09-15,[0]
425,2020-09-16,[0]
426,2020-09-17,[0]
427,2020-09-18,[0]
428,2020-09-21,[0]
429,2020-09-22,[0]
430,2020-09-23,[0]
431,2020-09-24,[0]
432,2020-09-25,[0]
433,2020-09-28,[0]
434,2020-09-29,[0]
435,2020-09-30,[0]
436,2020-10-01,[0]
437,2020-10-02,[0]
438,2020-10-05,[0]
439,2020-10-06,[0]
440,2020-10-07,[0]
441,2020-10-08,[0]
442,2020-10-09,[0]
443,2020-10-12,[0]
444,2020-10-13,[0]
445,2020-10-14,[0]
446,2020-10-15,[0]
447,2020-10-16,[0]
448,2020-10-19,[0]
449,2020-10-20,[0]
450,2020-10-21,[0]
451,2020-10-22,[0]
