,0
Annual return,-0.11386674378475214
Cumulative returns,-0.2579822630000004
Annual volatility,0.2106881401370583
Sharpe ratio,-0.46918941590859564
Calmar ratio,-0.3030258416492619
Stability,0.5659291702567508
Max drawdown,-0.3757657867230595
Omega ratio,0.8932366041791207
Sortino ratio,-0.6545297326000244
Skew,
Kurtosis,
Tail ratio,1.0583709506466248
Daily value at risk,-0.026936483021152226
