,Iter,Val Start,Val End,Model Used,A2C Sharpe,PPO Sharpe,DDPG Sharpe
0,126,2019-01-02,2019-04-08,DDPG,0.13960249319693635,-0.06615136679675664,0.24190838141476947
1,189,2019-04-08,2019-07-10,A2C,0.14551059408612832,-0.037146064020665365,0.1348922188074481
2,252,2019-07-10,2019-10-08,PPO,-0.3872226791725122,-0.1670684652490339,-0.35235469346603626
3,315,2019-10-08,2020-01-06,DDPG,0.22001347338309343,-0.15205650196230122,0.36769992858800526
4,378,2020-01-06,2020-04-10,DDPG,-0.6249910727242118,-0.6896086078352911,-0.08197478226320523
5,441,2020-04-10,2020-07-10,A2C,0.304679018614499,0.1440214767190664,0.22648669360576335
6,504,2020-07-10,2020-10-08,A2C,0.15002089191879764,-0.1752219341844901,0.06419051831382941
7,567,2020-10-08,2021-01-06,A2C,0.4352625941756474,-0.2619220927022016,0.2581996760825372
