,0
Annual return,-0.026699590668254114
Cumulative returns,-0.06461504749999769
Annual volatility,0.2501121113911213
Sharpe ratio,0.016665060930022017
Calmar ratio,-0.06419056915960066
Stability,0.005409053521127361
Max drawdown,-0.41594257564330683
Omega ratio,1.0031134511513242
Sortino ratio,0.023609499382279218
Skew,
Kurtosis,
Tail ratio,1.2156711902722581
Daily value at risk,-0.0314946239124549
